1,2,3,4,5,6,7,8,9
1,351U,61015DR,24299.55605,0.00016409,00000-0,27630-2,0,9997
2,351,66.748,339.6019,18788,58.1467,302.1477,14.69530273,
1,00355U,61015DV,24298.89751,0.00000891,00000-0,16327-2,0,9999
2,355,67.2253,236.1394,248950,270.5894,149.7586,13.33289096,68975
1,357U,61015DX,24299.73223,0.00003229,00000-0,19586-2,0,9998
2,357,66.8101,313.5597,18966,260.8961,98.998,14.07476882,
1,00369U,62039A,24298.68952,0.00004856,00000-0,49072-3,0,9992
2,369,98.5331,326.7649,82537,278.9204,80.2674,14.89047295,
1,369U,62039A,24299.83187,0.00005016,00000-0,50658-3,0,9999
2,369,98.5333,327.9954,82491,275.1751,84.0054,14.89058143,
1,00397U,62047A,24298.78341,0.00004859,00000-0,48524-3,0,9990
2,397,58.305,58.63,14237,71.6543,288.6051,14.92943909,
1,397U,62047A,24299.78788,0.00004929,00000-0,49177-3,0,9994
2,397,58.3051,54.7703,14296,72.4154,287.8453,14.92954023,
1,00402U,61015EB,24298.81738,0.00019561,00000-0,43465-2,0,9995
2,402,66.6576,99.4766,22261,41.9373,318.3439,14.56887742,
1,402U,61015EB,24299.8471,0.00018841,00000-0,41843-2,0,9995
2,402,66.6576,96.6586,22328,40.9303,319.348,14.5692683,
1,00405U,61015EE,24298.87909,0.00000343,00000-0,48710-3,0,9996
2,405,66.8909,124.2919,90631,234.1697,229.6106,13.66384374,
1,407U,61015EG,24298.73494,0.00073937,00000-0,95090-2,0,9993
2,407,66.3153,49.3484,50494,311.9699,209.0236,14.79759471,
1,00407U,61015EG,24298.73494,0.00073937,00000-0,95090-2,0,9993
2,407,66.3153,49.3484,50494,311.9699,209.0236,14.79759471,
1,407U,61015EG,24299.58548,0.00058176,00000-0,74824-2,0,9994
2,407,66.3157,46.9009,50561,311.8581,59.6323,14.79865862,
1,00408U,61015EH,24298.87877,0.0000136,00000-0,14423-2,0,9993
2,408,66.7849,101.6689,67528,174.2625,354.5228,13.76387628,
1,408U,61015EH,24299.88492,0.00001482,00000-0,15647-2,0,9999
2,408,66.785,99.2699,67422,173.5819,300.0017,13.7639119,
1,00409U,61015EJ,24298.84571,0.00003331,00000-0,13740-2,0,9995
2,409,66.713,114.1361,72070,250.7324,108.5967,14.26604823,
1,00410U,61015EK,24298.72146,0.00000178,00000-0,25765-3,0,9990
2,410,66.6953,36.1771,10607,18.4849,144.7145,13.76438167,
1,410U,61015EK,24299.56294,0.00000174,00000-0,25409-3,0,9996
2,410,66.6954,34.1634,10676,17.7442,354.5467,13.76438577,
1,00414U,61015EP,24298.88261,0.00000162,00000-0,23870-3,0,9999
2,414,66.442,120.7163,41671,127.9513,343.2841,13.77415025,
1,416U,61015ER,24299.57739,0.00001311,00000-0,71274-3,0,9991
2,416,66.5162,17.2841,79090,217.223,142.3361,14.13906663,
1,00420U,61015EV,24298.66959,0.00003377,00000-0,12307-2,0,9997
2,420,66.816,48.9626,90992,297.0329,62.1505,14.3198495,
1,420U,61015EV,24299.57755,0.00003286,00000-0,11980-2,0,9997
2,420,66.8162,46.5908,91028,296.3942,62.7835,14.31990534,
1,424U,62049A,24299.54116,0.00000205,00000-0,22524-3,0,9997
2,424,80.4641,129.7166,22870,345.8629,14.1873,13.69431072,99225
1,00426U,62049B,24298.71262,0.00000114,00000-0,12281-3,0,9995
2,426,80.4686,141.1968,17687,338.614,90.6554,13.68663875,97985
1,426U,62049B,24299.79726,0.00000113,00000-0,12099-3,0,9999
2,426,80.4684,140.1255,17642,335.7797,34.9099,13.68664024,98734
1,00446U,62060A,24298.73057,-0.00000082,00000-0,87931-4,0,9992
2,446,50.1438,5.5252,70124,33.1959,118.5284,13.35331757,23473
1,00447U,62060B,24298.89059,-0.00000083,00000-0,81570-4,0,9993
2,447,50.1291,185.2552,65669,183.2555,261.8163,13.39129194,31636
1,447U,62060B,24299.8603,-0.00000081,00000-0,85033-4,0,9998
2,447,50.129,181.7263,65664,186.1492,256.6658,13.39129303,32209
1,465U,61015FB,24298.79155,0.00005619,00000-0,18988-2,0,9992
2,465,66.3187,74.9407,34967,328.1153,31.7828,14.37225304,
1,00465U,61015FB,24298.79155,0.00005619,00000-0,18988-2,0,9992
2,465,66.3187,74.9407,34967,328.1153,31.7828,14.37225304,
1,00467U,61015FD,24298.70517,0.00003011,00000-0,37545-2,0,9998
2,467,66.5598,45.5183,241178,326.9953,31.6242,13.54355929,
1,469U,61015FF,24298.37185,0.00004854,00000-0,17682-2,0,9992
2,469,66.834,289.5619,66713,285.5073,73.8668,14.32663694,
1,470U,61015FG,24299.56863,0.00001859,00000-0,11181-2,0,9992
2,470,66.2336,16.792,71346,322.0092,37.597,14.07864811,
1,00475U,61015FM,24298.75702,0.00007297,00000-0,32187-2,0,9990
2,475,66.2238,157.6246,142225,115.4181,246.1705,14.1856085,
1,475U,61015FM,24299.88506,0.00007016,00000-0,30952-2,0,9999
2,475,66.2238,154.6722,142238,114.692,246.9054,14.18576022,
1,00478U,61015FQ,24298.84949,0.00014503,00000-0,21068-2,0,9995
2,478,66.0662,129.5856,42118,320.1856,39.6171,14.75526883,
1,00480U,61015FS,24298.75768,0.00004622,00000-0,14766-2,0,9994
2,480,66.2379,249.796,80055,169.7829,190.4921,14.38712702,
1,00503U,62068A,24298.84688,-0.00000017,00000-0,00000-0,0,9991
